pos,neg,neu,compound,Emotion,Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Selected,Selected (1)
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"À Azovstal, les derniers combattants ukrainiens résistent toujours aux Russes malgré d'immenses difficultés

«L'un des combattants a dit à sa femme: ""Ne pleure pas, on rentrera à la maison quoiqu'il arrive: vivant ou mort"".» 

https://t.co/gI7NypUAMi
#Ukraine",2022-05-08 08:40:57,fr,,36.0,18.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.062,0.938,-0.3182,Joy,@Le_Figaro,"Liz Truss: « Soutenir l'Ukraine est un impératif moral et stratégique» 

Dans une tribune au Figaro, la chef de la diplomatie britannique explique pourquoi son pays se veut en pointe dans la confrontation avec Vladimir Poutine.

https://t.co/sjcNpbdgcY",2022-05-08 04:35:33,fr,,64.0,20.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"L’Ukraine se bat contre la Russie presque à la façon de l’Otan. Et avec efficacité, se réjouit-on chez les militaires. Après 2016, 16 programmes avaient été lancés, notamment pour renforcer les structures de commandement, d’information, de logistique ou de cyberdéfense. https://t.co/faYq6mNicA",2022-05-07 18:00:09,fr,,13.0,3.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"«Les alliés de l’Otan se préparent à (...) aider l’Ukraine à passer d’équipements de l’époque soviétique à des armes et des systèmes plus modernes au standard de l’Otan», a déclaré jeudi dernier le secrétaire général de l’Alliance atlantique, @jensstoltenberg. https://t.co/6rZx7A8cO9",2022-05-07 18:00:07,fr,,11.0,6.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"[À DÉROULER] Comment la montée en gamme de l’aide militaire à l’Ukraine change la donne sur le terrain.
 
À résister s’est substituée l’idée de l’emporter. Après avoir fourni à l’#Ukraine des munitions et des missiles, les Occidentaux promettent désormais des armes lourdes. https://t.co/p840M1F8c8",2022-05-07 18:00:06,fr,,34.0,16.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.07,0.93,-0.34,Joy,@Le_Figaro,"L'#Ukraine affirme avoir détruit un nouveau bateau de guerre russe 

Un drone de combat Bayraktar aurait permis de couler un navire de débarquement au large de l'île aux Serpents, en mer Noire.

https://t.co/JDzr4Folx3",2022-05-07 15:41:31,fr,,94.0,29.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.169,0.831,-0.7579,Joy,@Le_Figaro,"Le Conseil de l'Europe dénonce des violations «vertigineuses» des droits humains en Ukraine

«Les noms de Boutcha, Borodianka, Irpin ou Andriivka en sont venus à symboliser les actes horribles qui ont été commis ici.» 

https://t.co/aeeQX1I3DB",2022-05-07 14:41:39,fr,,81.0,40.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.104,0.896,-0.5423,Joy,@Le_Figaro,"De nouvelles explosions en Moldavie

«Dans la soirée du 6 mai, vers 21h40, deux premiers engins explosifs auraient été largués depuis un drone. Une heure plus tard, l'attaque a été répétée.» 

https://t.co/XXLeN0HsgX

#Ukraine",2022-05-07 13:41:35,fr,,17.0,8.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"La Russie effectue ses dernières répétitions avant la défilé du 9 mai

Le traditionnel défilé militaire du 9 mai célébrant la victoire sur l'Allemagne nazie, sera l'occasion d'une démonstration de force en pleine campagne d'Ukraine à la peine. https://t.co/cgUpIymjZu",2022-05-07 11:41:11,fr,,17.0,10.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Les Européens ne parviennent pas à se mettre d'accord sur le pétrole russe

Le premier ministre hongrois, Viktor Orban répète que couper son pays du pétrole et du gaz russes serait «une ligne rouge». 

https://t.co/QDRTOrpNpu

#Ukraine",2022-05-07 11:21:28,fr,,19.0,13.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Comment la montée en gamme de l’aide militaire à l'Ukraine change la donne sur le terrain

Après avoir fourni à l’#Ukraine des munitions et des missiles, les Occidentaux promettent désormais des armes lourdes. 

https://t.co/u1hG3Faaok",2022-05-07 10:41:22,fr,,19.0,7.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"#Ukraine Ioulia Timochenko: «Poutine est un fasciste en guerre contre l'Europe»

L'ancienne première ministre de l'Ukraine estime que le président russe a «un esprit froid, rationnel et cynique». Elle soutient aujourd'hui à 100% Volodymyr Zelensky. https://t.co/8BCA7WkzRW https://t.co/BKM8F3KCqD",2022-05-07 03:36:45,fr,,227.0,78.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"#Ukraine Les habitants de Marioupol racontent l’enfer vécu dans des abris sous-terrains bombardés

«J’ai dormi toutes ces nuits avec mon bébé dans les bras sur un sommier en bois, avec un tas de vestes de chantier pour seules couvertures.» https://t.co/nD0txzadAR",2022-05-06 20:37:30,fr,,82.0,33.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Comment la montée en gamme de l’aide militaire aux ukrainiens change la donne

Après avoir fourni à l’Ukraine des munitions et des missiles, les Occidentaux promettent désormais des armes lourdes. https://t.co/3L4MYsXPF8",2022-05-06 13:07:32,fr,,72.0,24.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"L'ancienne première ministre de l'Ukraine Ioulia Timochenko estime que le président russe a «un esprit froid, rationnel et cynique». Elle soutient aujourd'hui à 100% Volodymyr Zelensky, son ancien adversaire politique.

➡ https://t.co/8qdRmjvSCX https://t.co/ORA2HY7zKE",2022-05-06 09:26:40,fr,,87.0,36.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Les États-Unis aident l’Ukraine par la livraison d’armes de plus en plus lourdes, par l’entrainement de ses troupes, mais aussi en transmettant des renseignements sensibles. https://t.co/NNSkebx9rH",2022-05-06 08:07:10,fr,,22.0,13.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Fear,@Le_Figaro,"#VotreAvis Craignez-vous une extension du conflit au-delà de l’Ukraine?

Votez également sur le site du Figaro:
https://t.co/ReQS1kJ9dU",2022-05-05 10:11:00,fr,,4.0,8.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.097,0.0,0.903,0.4767,Joy,@Le_Figaro,"🔴 Les renseignements de Washington ont permis à l'Ukraine de cibler des généraux russes

«Les États-Unis fournissent des renseignements sur le champ de bataille pour aider les Ukrainiens à défendre leur pays.» https://t.co/PLxmpTDRcT",2022-05-05 05:55:18,fr,,101.0,32.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"En Ukraine, les forces russes font main basse sur la production et le matériel agricoles

Dans les territoires occupés par Moscou, l'inquiétude grandit au rythme des alertes, réminiscence macabre de la Grande famine.

https://t.co/AkcxWN1XgF",2022-05-05 04:32:09,fr,,22.0,30.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Ankara s'inquiète de l’influence de Moscou sur la mer Noire

«La Turquie est le seul pays membre de l’Otan à ne pas avoir adopté de sanctions contre Moscou.» 

https://t.co/sLP4Js1xUR

#Ukraine",2022-05-04 12:36:00,fr,,6.0,7.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Des Israéliens combattent avec le régiment #Azov, affirme Moscou

Mardi soir, le ministère russe des Affaires étrangères avait déjà soufflé sur les braises en accusant Israël de «soutenir le régime néonazi de Kiev». 

https://t.co/oQdyy80T5x

#Ukraine",2022-05-04 11:06:45,fr,,38.0,28.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.085,0.915,-0.3612,Joy,@Le_Figaro,"La «Nouvelle-Russie», nouvel argument russe pour dépecer l'Ukraine

«L'un des objectifs de l'armée russe est d'établir un contrôle total sur le Donbass et le sud de l'#Ukraine.» 

https://t.co/iG5dATVzKi",2022-05-04 09:05:51,fr,,42.0,9.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Très concrètement, un tel scénario donnerait la possibilité à la Russie de mobiliser ses deux millions de réservistes et ses 250.000 conscrits, en plus des 180 à 200.000 forces conventionnelles déployées en Ukraine. https://t.co/w5m1TmJ4ev",2022-05-03 17:58:57,fr,,26.0,12.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"«Les militaires russes estiment que c'était une erreur de limiter les objectifs initiaux de la guerre. Les dirigeants de l'armée affirment que la Russie attaque désormais non seulement l'Ukraine, mais aussi l'ensemble de l'OTAN», analyse le groupe de réflexion américain CEPA https://t.co/kbQCCOUN37",2022-05-03 17:58:52,fr,,15.0,5.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"#Ukraine Vladimir Poutine va-t-il être contraint de décréter la mobilisation générale?

Présenté depuis les premiers assauts comme une «opération militaire spéciale», le conflit en Ukraine pourrait être requalifié en «guerre» par la Russie, et ce dès le 9 mai. https://t.co/XEhHBbZrzl",2022-05-03 17:58:51,fr,,76.0,44.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.136,0.0,0.864,0.4588,Joy,@Le_Figaro,RT @renaudgirard: #Ukraine - Est-il vraiment intelligent pour les occidentaux de répondre à la surenchère verbale russe en usant du même pr…,2022-05-03 14:24:15,fr,,0.0,16.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"RT @Figaro_Live: 📢À 18h dans #PDVFigaro

➤Législatives: bientôt une union populaire ? 
➤Guerre en Ukraine: l’Union européenne peut-elle se…",2022-05-03 14:18:38,fr,,0.0,4.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Surprise,@Le_Figaro,"🔴 Poutine dit à Macron que l'Occident doit cesser de fournir des armes à l'Ukraine

https://t.co/ZNlWEEVojC",2022-05-03 13:59:37,fr,,42.0,17.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.057,0.943,-0.2023,Joy,@Le_Figaro,"Moscou accuse Israël de «soutenir le régime néonazi de Kiev»

«L'histoire connaît malheureusement des exemples tragiques de coopération entre juifs et nazis», a indiqué la diplomatie russe dans un communiqué.  

https://t.co/eU0BeZWieO

#Ukraine",2022-05-03 13:06:11,fr,,40.0,19.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"La Russie envoie un navire centenaire pour sauver le #Moskva

Pour renflouer le navire-amiral de sa flotte coulé le 13 avril, la Russie déploie le Kommouna inauguré en 1913.

https://t.co/KjWNEVwC2H

#Ukraine",2022-05-03 08:06:05,fr,,71.0,23.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Pour Vladimir Poutine, le régiment Azov était l’ennemi idéal. Recrutée dans les rangs de l’extrême droite ukrainienne, cette unité d’élite de la Garde nationale était le symbole même de ces «nazis» que l'invasion de l’Ukraine était censée éradiquer.
#Russie https://t.co/WLE5l7vHcd",2022-05-02 14:22:01,fr,,7.0,3.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"[À DÉROULER]  Le régiment Azov, milice paramilitaire controversée devenue unité d’élite

La 36e brigade d’infanterie de marine et le régiment Azov ont été distingués par le président Volodymyr Zelensky, et leurs commandants ont reçu la plus haute distinction du pays.
#Ukraine https://t.co/SPHqNEL29G",2022-05-02 14:22:00,fr,,117.0,26.0,,Le Figaro,La culture de la liberté depuis 1826,719333.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
